duration,height,volume,rate,day,date,time,workday,warmup,notes
45.21,42,180.629967,3.99535428,thu,05 Mar 2015,15:30,Mon-Fri,no,
52.34,49,210.7349615,4.0262698032,thu,05 Mar 2015,17:30,Mon-Fri,no,
44.6,40,172.02854,3.8571421525,fri,06 Mar 2015,11:05,Mon-Fri,no,
38.31,37,159.1263995,4.153651775,fri,06 Mar 2015,13:10,Mon-Fri,no,
46.77,50,215.035675,4.597726641,fri,06 Mar 2015,15:05,Mon-Fri,no,
37.18,33,141.9235455,3.8172013314,sun,08 Mar 2015,14:15,Sat-Sun,no,
37.47,34,146.224259,3.9024355218,sun,08 Mar 2015,20:40,Sat-Sun,no,
35.92,34,146.224259,4.0708312639,sun,08 Mar 2015,23:00,Sat-Sun,no,
43.35,40,172.02854,3.9683630911,mon,09 Mar 2015,09:15,Mon-Fri,no,
44.88,44,189.231394,4.2163857843,mon,09 Mar 2015,15:05,Mon-Fri,no,
46.54,48,206.434248,4.4356305973,mon,09 Mar 2015,16:20,Mon-Fri,no,
41.61,40,172.02854,4.1343076184,mon,09 Mar 2015,19:35,Mon-Fri,no,
37.21,38,163.427113,4.3920213115,tue,10 Mar 2015,10:15,Mon-Fri,no,
49.89,43,184.9306805,3.7067685007,tue,10 Mar 2015,12:35,Mon-Fri,no,
43.56,42,180.629967,4.1466934573,tue,10 Mar 2015,15:25,Mon-Fri,no,
53.11,55,236.5392425,4.4537609207,tue,10 Mar 2015,19:20,Mon-Fri,no,
43.4,41,176.3292535,4.0628860253,wed,11 Mar 2015,16:00,Mon-Fri,no,
53.15,48,206.434248,3.8839933772,fri,13 Mar 2015,11:45,Mon-Fri,no,
46,42,180.629967,3.926738413,fri,13 Mar 2015,13:45,Mon-Fri,no,
41.36,39,167.7278265,4.0553149541,sat,14 Mar 2015,15:15,Sat-Sun,no,
41.14,41,176.3292535,4.2860781113,sat,14 Mar 2015,16:30,Sat-Sun,no,
50.44,37,159.1263995,3.1547660488,sun,15 Mar 2015,14:45,Sat-Sun,yes,
43.92,40,172.02854,3.9168611111,sun,15 Mar 2015,16:55,Sat-Sun,no,
35.56,34,146.224259,4.112043279,sun,15 Mar 2015,20:10,Sat-Sun,no,
49.82,45,193.5321075,3.8846268065,mon,16 Mar 2015,11:50,Mon-Fri,no,
51.35,37,159.1263995,3.0988588023,mon,16 Mar 2015,14:30,Mon-Fri,no,
44.7,38,163.427113,3.6560875391,mon,16 Mar 2015,18:10,Mon-Fri,no,
47.3,40,172.02854,3.636967019,tue,17 Mar 2015,11:15,Mon-Fri,no,
52.95,53,227.9378155,4.3047746081,tue,17 Mar 2015,15:00,Mon-Fri,no,
42.5,42,180.629967,4.2501168706,thu,19 Mar 2015,14:50,Mon-Fri,no,
43.08,42,180.629967,4.1928961699,thu,19 Mar 2015,16:35,Mon-Fri,no,
53,49,210.7349615,3.9761313491,fri,20 Mar 2015,14:20,Mon-Fri,no,
45.68,39,167.7278265,3.6718000547,mon,23 Mar 2015,12:30,Mon-Fri,no,after a small shot
41.17,40,172.02854,4.1784925917,tue,24 Mar 2015,11:35,Mon-Fri,no,
39.89,39,167.7278265,4.2047587491,wed,25 Mar 2015,11:10,Mon-Fri,no,
48.48,44,189.231394,3.90328783,thu,26 Mar 2015,14:05,Mon-Fri,no,
53.59,51,219.3363885,4.0928603937,thu,26 Mar 2015,15:05,Mon-Fri,no,
50.99,52,223.637102,4.3859011963,thu,26 Mar 2015,17:20,Mon-Fri,no,
49.3,46,197.832821,4.0128361258,thu,26 Mar 2015,18:50,Mon-Fri,no,
49.42,37,159.1263995,3.2198785815,fri,27 Mar 2015,07:20,Mon-Fri,yes,
39.77,40,172.02854,4.3255856173,fri,27 Mar 2015,09:45,Mon-Fri,no,
46.58,46,197.832821,4.2471623229,fri,27 Mar 2015,12:00,Mon-Fri,no,
43.63,42,180.629967,4.1400404997,sat,28 Mar 2015,16:45,Sat-Sun,no,
39.71,41,176.3292535,4.4404244145,sun,29 Mar 2015,17:00,Sat-Sun,no,
43.9,46,197.832821,4.5064423918,mon,30 Mar 2015,09:30,Mon-Fri,no,
43.61,39,167.7278265,3.8460863678,mon,30 Mar 2015,10:30,Mon-Fri,no,
47.3,44,189.231394,4.0006637209,mon,30 Mar 2015,13:32,Mon-Fri,no,
43.08,45,193.5321075,4.4923887535,tue,31 Mar 2015,10:40,Mon-Fri,no,
43.03,44,189.231394,4.3976619568,tue,31 Mar 2015,13:05,Mon-Fri,no,
