date,day.yr,date.label,day.label,month.label
01 Jan 2015,1,01 Jan,01,Jan
02 Jan 2015,2,02 Jan,02,Jan
03 Jan 2015,3,03 Jan,03,Jan
04 Jan 2015,4,04 Jan,04,Jan
05 Jan 2015,5,05 Jan,05,Jan
06 Jan 2015,6,06 Jan,06,Jan
07 Jan 2015,7,07 Jan,07,Jan
08 Jan 2015,8,08 Jan,08,Jan
09 Jan 2015,9,09 Jan,09,Jan
10 Jan 2015,10,10 Jan,10,Jan
11 Jan 2015,11,11 Jan,11,Jan
12 Jan 2015,12,12 Jan,12,Jan
13 Jan 2015,13,13 Jan,13,Jan
14 Jan 2015,14,14 Jan,14,Jan
15 Jan 2015,15,15 Jan,15,Jan
16 Jan 2015,16,16 Jan,16,Jan
17 Jan 2015,17,17 Jan,17,Jan
18 Jan 2015,18,18 Jan,18,Jan
19 Jan 2015,19,19 Jan,19,Jan
20 Jan 2015,20,20 Jan,20,Jan
21 Jan 2015,21,21 Jan,21,Jan
22 Jan 2015,22,22 Jan,22,Jan
23 Jan 2015,23,23 Jan,23,Jan
24 Jan 2015,24,24 Jan,24,Jan
25 Jan 2015,25,25 Jan,25,Jan
26 Jan 2015,26,26 Jan,26,Jan
27 Jan 2015,27,27 Jan,27,Jan
28 Jan 2015,28,28 Jan,28,Jan
29 Jan 2015,29,29 Jan,29,Jan
30 Jan 2015,30,30 Jan,30,Jan
31 Jan 2015,31,31 Jan,31,Jan
01 Feb 2015,32,01 Feb,01,Feb
02 Feb 2015,33,02 Feb,02,Feb
03 Feb 2015,34,03 Feb,03,Feb
04 Feb 2015,35,04 Feb,04,Feb
05 Feb 2015,36,05 Feb,05,Feb
06 Feb 2015,37,06 Feb,06,Feb
07 Feb 2015,38,07 Feb,07,Feb
08 Feb 2015,39,08 Feb,08,Feb
09 Feb 2015,40,09 Feb,09,Feb
10 Feb 2015,41,10 Feb,10,Feb
11 Feb 2015,42,11 Feb,11,Feb
12 Feb 2015,43,12 Feb,12,Feb
13 Feb 2015,44,13 Feb,13,Feb
14 Feb 2015,45,14 Feb,14,Feb
15 Feb 2015,46,15 Feb,15,Feb
16 Feb 2015,47,16 Feb,16,Feb
17 Feb 2015,48,17 Feb,17,Feb
18 Feb 2015,49,18 Feb,18,Feb
19 Feb 2015,50,19 Feb,19,Feb
20 Feb 2015,51,20 Feb,20,Feb
21 Feb 2015,52,21 Feb,21,Feb
22 Feb 2015,53,22 Feb,22,Feb
23 Feb 2015,54,23 Feb,23,Feb
24 Feb 2015,55,24 Feb,24,Feb
25 Feb 2015,56,25 Feb,25,Feb
26 Feb 2015,57,26 Feb,26,Feb
27 Feb 2015,58,27 Feb,27,Feb
28 Feb 2015,59,28 Feb,28,Feb
01 Mar 2015,60,01 Mar,01,Mar
02 Mar 2015,61,02 Mar,02,Mar
03 Mar 2015,62,03 Mar,03,Mar
04 Mar 2015,63,04 Mar,04,Mar
05 Mar 2015,64,05 Mar,05,Mar
06 Mar 2015,65,06 Mar,06,Mar
07 Mar 2015,66,07 Mar,07,Mar
08 Mar 2015,67,08 Mar,08,Mar
09 Mar 2015,68,09 Mar,09,Mar
10 Mar 2015,69,10 Mar,10,Mar
11 Mar 2015,70,11 Mar,11,Mar
12 Mar 2015,71,12 Mar,12,Mar
13 Mar 2015,72,13 Mar,13,Mar
14 Mar 2015,73,14 Mar,14,Mar
15 Mar 2015,74,15 Mar,15,Mar
16 Mar 2015,75,16 Mar,16,Mar
17 Mar 2015,76,17 Mar,17,Mar
18 Mar 2015,77,18 Mar,18,Mar
19 Mar 2015,78,19 Mar,19,Mar
20 Mar 2015,79,20 Mar,20,Mar
21 Mar 2015,80,21 Mar,21,Mar
22 Mar 2015,81,22 Mar,22,Mar
23 Mar 2015,82,23 Mar,23,Mar
24 Mar 2015,83,24 Mar,24,Mar
25 Mar 2015,84,25 Mar,25,Mar
26 Mar 2015,85,26 Mar,26,Mar
27 Mar 2015,86,27 Mar,27,Mar
28 Mar 2015,87,28 Mar,28,Mar
29 Mar 2015,88,29 Mar,29,Mar
30 Mar 2015,89,30 Mar,30,Mar
31 Mar 2015,90,31 Mar,31,Mar
01 Apr 2015,91,01 Apr,01,Apr
02 Apr 2015,92,02 Apr,02,Apr
03 Apr 2015,93,03 Apr,03,Apr
04 Apr 2015,94,04 Apr,04,Apr
05 Apr 2015,95,05 Apr,05,Apr
06 Apr 2015,96,06 Apr,06,Apr
07 Apr 2015,97,07 Apr,07,Apr
08 Apr 2015,98,08 Apr,08,Apr
09 Apr 2015,99,09 Apr,09,Apr
10 Apr 2015,100,10 Apr,10,Apr
11 Apr 2015,101,11 Apr,11,Apr
12 Apr 2015,102,12 Apr,12,Apr
13 Apr 2015,103,13 Apr,13,Apr
14 Apr 2015,104,14 Apr,14,Apr
15 Apr 2015,105,15 Apr,15,Apr
16 Apr 2015,106,16 Apr,16,Apr
17 Apr 2015,107,17 Apr,17,Apr
18 Apr 2015,108,18 Apr,18,Apr
19 Apr 2015,109,19 Apr,19,Apr
20 Apr 2015,110,20 Apr,20,Apr
